serial,log_datetime,machine_name,event_type,status_name,error_code,error_name,stopped_reason
6897781,2021/7/1 17:08,OB1F_FICO#11,STATUS,STARTED,,,
6909674,2021/7/1 17:24,OB1F_FICO#04,STATUS,STARTED,,,
6917172,2021/7/1 17:09,OB1F_FICO#11,ERROR,ERROR,46,FRAME INSPECTION FAILED PRESS1: VISION OUTFEED,
6917174,2021/7/1 17:09,OB1F_FICO#11,STATUS,FINISHED,,,Auto
6917192,2021/7/1 17:09,OB1F_FICO#11,ALARM,Begin Repair,,,
6917204,2021/7/1 17:09,OB1F_FICO#11,STATUS,STARTED,,,
6926199,2021/7/1 17:18,Site2-FICO#05,STATUS,FINISHED,,,Auto
6974830,2021/7/1 17:10,OB1F_FICO#05,STATUS,FINISHED,,,Auto
6974857,2021/7/1 17:10,OB1F_FICO#05,STATUS,STARTED,,,
6974865,2021/7/1 17:25,OB1F_FICO#05,ERROR,ERROR,46,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,
6974867,2021/7/1 17:25,OB1F_FICO#05,STATUS,FINISHED,,,Auto
6977821,2021/7/1 17:21,Site2-FICO#05,STATUS,STARTED,,,
7016538,2021/7/1 17:25,OB1F_FICO#05,ALARM,Begin Repair,,,
7016548,2021/7/1 17:25,OB1F_FICO#05,STATUS,STARTED,,,
7016557,2021/7/1 17:27,OB1F_FICO#05,ERROR,ERROR,46,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,
7016559,2021/7/1 17:27,OB1F_FICO#05,STATUS,FINISHED,,,Auto
7016576,2021/7/1 17:27,OB1F_FICO#05,ALARM,Begin Repair,,,
7022520,2021/7/1 17:21,OB1F_FICO#10,STATUS,FINISHED,,,Auto
7029975,2021/7/1 17:27,OB1F_FICO#05,STATUS,STARTED,,,
7029983,2021/7/1 17:27,OB1F_FICO#05,STATUS,FINISHED,,,MA
7030000,2021/7/1 17:27,OB1F_FICO#05,STATUS,STARTED,,,
7035970,2021/7/1 17:23,OB1F_FICO#10,STATUS,STARTED,,,
7060194,2021/7/1 17:06,OB1F_FICO#02,STATUS,FINISHED,,,Auto
