Machine,Status,Start_DTTM,Stop_DTTM,Duration,error_code,error_name,stopped_reason
MB4F_FICO#02,Run,8/10/2021 0:39,8/10/2021 0:42,3,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 0:42,8/10/2021 0:44,2,46.0,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,Auto
MB4F_FICO#02,Run,8/10/2021 0:44,8/10/2021 0:47,3,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 0:47,8/10/2021 0:56,9,46.0,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,Auto
MB4F_FICO#02,Run,8/10/2021 0:56,8/10/2021 0:57,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 0:57,8/10/2021 2:18,21,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 2:18,8/10/2021 2:18,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 2:18,8/10/2021 2:20,2,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 2:20,8/10/2021 2:29,9,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 2:29,8/10/2021 2:33,4,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 2:33,8/10/2021 2:35,2,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 2:35,8/10/2021 2:36,1,66.0,FRONT COVER CLOSE/LOCK TIMEOUT\ TRAYHANDLER: 2S12,Auto
MB4F_FICO#02,Run,8/10/2021 2:36,8/10/2021 2:36,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 2:36,8/10/2021 2:36,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 2:36,8/10/2021 2:36,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 2:36,8/10/2021 2:36,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 2:38,8/10/2021 2:44,6,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 2:44,8/10/2021 2:54,10,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 7:46,8/10/2021 7:51,5,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 7:51,8/10/2021 7:51,1,46.0,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,Auto
MB4F_FICO#02,Run,8/10/2021 7:51,8/10/2021 7:57,6,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 7:57,8/10/2021 7:57,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 7:57,8/10/2021 8:06,9,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 8:06,8/10/2021 8:07,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 8:07,8/10/2021 8:12,5,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 8:12,8/10/2021 8:16,4,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 8:36,8/10/2021 8:58,22,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 8:58,8/10/2021 8:59,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 9:04,8/10/2021 9:20,16,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 9:20,8/10/2021 9:21,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 9:21,8/10/2021 9:27,6,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 9:27,8/10/2021 9:37,10,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 9:42,8/10/2021 9:43,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 9:43,8/10/2021 9:43,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 9:45,8/10/2021 9:47,2,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 9:47,8/10/2021 9:47,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 9:47,8/10/2021 9:52,5,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 9:52,8/10/2021 9:54,2,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 9:54,8/10/2021 10:06,12,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:06,8/10/2021 10:07,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:07,8/10/2021 10:07,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:07,8/10/2021 10:08,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:08,8/10/2021 10:10,2,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:10,8/10/2021 10:11,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:11,8/10/2021 10:15,4,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:15,8/10/2021 10:15,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:15,8/10/2021 10:22,7,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:22,8/10/2021 10:24,2,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:24,8/10/2021 10:27,3,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:27,8/10/2021 10:27,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:27,8/10/2021 10:29,2,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:29,8/10/2021 10:30,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:30,8/10/2021 10:31,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:31,8/10/2021 10:32,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:32,8/10/2021 10:34,2,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:34,8/10/2021 10:39,5,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:39,8/10/2021 10:41,2,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:41,8/10/2021 10:44,3,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:44,8/10/2021 10:47,3,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:47,8/10/2021 10:48,1,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 10:48,8/10/2021 10:55,7,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 10:55,8/10/2021 10:57,2,80.0,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
MB4F_FICO#02,Run,8/10/2021 13:54,8/10/2021 13:54,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:54,8/10/2021 13:55,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:55,8/10/2021 13:55,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:55,8/10/2021 13:55,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:55,8/10/2021 13:55,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:55,8/10/2021 13:56,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:56,8/10/2021 13:56,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:56,8/10/2021 13:56,1,74.0,DUSTBIN FULL PRESS2: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:56,8/10/2021 13:56,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:56,8/10/2021 13:56,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:56,8/10/2021 13:56,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:56,8/10/2021 13:57,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:57,8/10/2021 13:57,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:57,8/10/2021 13:57,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:57,8/10/2021 13:57,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:57,8/10/2021 13:57,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:57,8/10/2021 13:57,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:57,8/10/2021 13:57,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:57,8/10/2021 13:57,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:57,8/10/2021 13:59,2,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:59,8/10/2021 13:59,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:59,8/10/2021 13:59,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:59,8/10/2021 13:59,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:59,8/10/2021 13:59,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 13:59,8/10/2021 13:59,1,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 13:59,8/10/2021 14:00,1,74.0,DUSTBIN FULL PRESS1: 2S05,Auto
MB4F_FICO#02,Run,8/10/2021 14:03,8/10/2021 14:30,27,NA,NA,NA
MB4F_FICO#02,Stop,8/10/2021 14:30,8/10/2021 14:31,1,65.0,STACK REMOVAL TIMEOUT TRAYHANDLER: 2S23,Auto
MB4F_FICO#02,Run,8/10/2021 14:55,8/10/2021 14:57,2,NA,NA,MA
MB4F_FICO#02,Stop,8/10/2021 14:57,8/10/2021 14:57,1,MA,MA,MA
MB4F_FICO#02,Run,8/10/2021 15:03,8/10/2021 15:12,9,NA,NA,NA
